date,region,product,sales,units
2024-11-24,West,Widget A,2851,11
2024-11-25,East,Gadget C,4023,49
2024-11-26,West,Widget A,2360,28
2024-11-27,South,Gadget C,3718,36
2024-11-28,East,Gadget C,3410,14
2024-11-29,West,Gadget C,246,38
2024-11-30,North,Widget B,1949,32
2024-12-01,East,Gadget C,1673,49
2024-12-02,South,Widget A,3140,12
2024-12-03,South,Widget B,3430,13
2024-12-04,North,Widget A,4970,31
2024-12-05,South,Widget A,4927,39
2024-12-06,South,Widget B,3743,7
2024-12-07,South,Widget A,3731,23
2024-12-08,West,Widget B,3478,42
2024-12-09,North,Widget A,2736,49
2024-12-10,East,Widget B,1658,37
2024-12-11,East,Gadget C,2455,4
2024-12-12,East,Widget B,817,26
2024-12-13,West,Widget A,3487,14
2024-12-14,West,Gadget C,3127,1
2024-12-15,South,Widget B,2741,14
2024-12-16,North,Gadget C,1987,21
2024-12-17,North,Gadget C,4820,9
2024-12-18,North,Widget A,1632,15
2024-12-19,East,Widget B,2052,17
2024-12-20,North,Widget A,3101,33
2024-12-21,East,Gadget C,922,28
2024-12-22,South,Widget B,1467,8
2024-12-23,East,Widget A,3740,16
2024-12-24,West,Gadget C,206,36
2024-12-25,East,Widget A,339,6
2024-12-26,North,Widget B,3419,35
2024-12-27,North,Widget A,2892,44
2024-12-28,South,Widget B,2559,45
2024-12-29,East,Widget B,4635,4
2024-12-30,West,Widget A,4496,29
2024-12-31,North,Widget A,1702,4
